miR_Family	Gene_Symbol
let-7-5p/miR-98/6134 ACVR1B
let-7/98 ACVR1B
let-7-5p/98-5p/miR-4458/4500 ACVR1B
let-7-5p ACVR1B
miR-9-5p ACVR1B
miR-9 ACVR1B
let-7-5p/miR-98-5p ACVR1B
miR-9-5p ACVR1B
miR-9a-5p ACVR1B
let-7-5p/miR-98 ACVR1B
let-7/98 ACVR1B
let-7-5p/miR-98-5p/1961 ACVR1B
miR-101-3p.2 ACVR1B
miR-101a-3p.2/101b-3p.1/101b-3p.2 ACVR1B
miR-106-5p/17-5p/20-5p/93-5p/519d ACVR1B
miR-17-5p/20-5p/20b/93/106/427 ACVR1B
miR-17-5p/20/93/106/519 ACVR1B
miR-17-5p/20-5p/93-5p/106-5p/519-3p/526-3p ACVR1B
miR-17-5p/20/93/106 ACVR1B
miR-20/93/106 ACVR1B
miR-106-5p/17-5p/20-5p/93-5p/6383 ACVR1B
miR-17-5p/20-5p/93-5p/106-5p/1643-3p ACVR1B
miR-17-5p/20-5p/93-5p/106b-5p ACVR1B
miR-582-5p ACVR1B
miR-582-5p ACVR1B
miR-582 ACVR1B
miR-582-5p ACVR1B
miR-760 ACVR1B
miR-760 ACVR1B
miR-760 ACVR1B
miR-760-3p/1842 ACVR1B
miR-760-3p/7239-3p ACVR1B
miR-760-3p ACVR1B
miR-489-3p ACVR1C
miR-489 ACVR1C
miR-489-3p ACVR1C
miR-489-3p ACVR1C
miR-485-3p/539-3p ACVR1C
miR-489 ACVR1C
miR-489 ACVR1C
miR-653-5p ACVR1C
miR-23-3p ACVR1C
miR-23-3p ACVR1C
miR-23-3p ACVR1C
miR-23-3p ACVR1C
miR-23-3p/130a-5p ACVR1C
miR-23 ACVR1C
miR-23 ACVR1C
miR-23 ACVR1C
miR-23-3p ACVR1C
miR-23-3p ACVR1C
miR-23-3p/130a-5p ACVR1C
miR-23-3p ACVR1C
miR-21-5p/590-5p ACVR1C
miR-21-5p/590-5p ACVR1C
miR-21 ACVR1C
miR-21-5p/590-5p ACVR1C
miR-21-5p ACVR1C
miR-21 ACVR1C
miR-23-3p ACVR1C
miR-23 ACVR1C
miR-23 ACVR1C
miR-27 ACVR1C
miR-27 ACVR1C
miR-27 ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-27 ACVR1C
miR-27-3p ACVR1C
miR-27-3p ACVR1C
miR-302a ACVR1C
miR-520f ACVR1C
miR-302-3p.2/520-3p ACVR1C
miR-302c-3p ACVR1C
miR-382-3p ACVR1C
miR-382 ACVR1C
miR-382-3p ACVR1C
miR-485 ACVR1C
miR-485-3p ACVR1C
let-7-5p/miR-98 ACVR1C
let-7/98 ACVR1C
let-7-5p/98-5p/miR-4458/4500 ACVR1C
let-7-5p/miR-98-5p/1961 ACVR1C
miR-9-5p ACVR1C
miR-9 ACVR1C
let-7/98 ACVR1C
let-7-5p/miR-98/6134 ACVR1C
let-7/98 ACVR1C
let-7-5p ACVR1C
let-7-5p/miR-98-5p ACVR1C
let-7-5p ACVR1C
miR-9-5p ACVR1C
miR-9 ACVR1C
miR-101a-3p.2/101b-3p.1/101b-3p.2 ACVR1C
miR-101-3p.2 ACVR1C
miR-199-3p ACVR1C
miR-199-3p ACVR1C
miR-199 ACVR1C
miR-199-3p ACVR1C
miR-199-3p/3129-5p ACVR1C
miR-199-3p ACVR1C
miR-199-3p/3129 ACVR1C
miR-200bc-3p/429 ACVR1C
miR-200c/429 ACVR1C
miR-200bc/429 ACVR1C
miR-200bc-3p/429 ACVR1C
miR-217 ACVR1C
miR-217 ACVR1C
miR-542-3p ACVR1C
miR-543 ACVR1C
miR-543 ACVR1C
miR-542-3p ACVR1C
miR-543-3p ACVR1C
miR-543 ACVR1C
miR-542 ACVR1C
miR-542-3p ACVR1C
miR-543-3p ACVR1C
miR-543-3p ACVR1C
miR-543 ACVR1C
miR-410 ACVR1C
miR-410 ACVR1C
miR-410 ACVR1C
miR-410-3p ACVR1C
miR-344-3p/344-3p/410-3p ACVR1C
miR-344-3p/410-3p ACVR1C
miR-340-5p ACVR1C
miR-410-3p ACVR1C
miR-340 ACVR1C
miR-340 ACVR1C
miR-340-5p ACVR1C
miR-494-3p ACVR1C
miR-494-3p ACVR1C
miR-494-3p ACVR1C
miR-488 ACVR1C
miR-488 ACVR1C
miR-488-3p ACVR1C
miR-448-3p ACVR1C
miR-488-3p ACVR1C
miR-448 ACVR1C
miR-448-3p ACVR1C
miR-448 ACVR1C
miR-448 ACVR1C
miR-448 ACVR1C
miR-494-3p ACVR1C
miR-494 ACVR1C
miR-494 ACVR1C
miR-494 ACVR1C
miR-494 ACVR1C
miR-494-3p ACVR1C
miR-494-3p ACVR1C
miR-488/2367-3p ACVR1C
miR-488-3p ACVR1C
miR-488/2367-3p ACVR1C
miR-488-3p ACVR1C
miR-494-3p ACVR1C
miR-320a ACVR1C
miR-320a ACVR1C
miR-320 ACVR1C
miR-320 ACVR1C
miR-425-5p ACVR1C
miR-425-5p/489-3p ACVR1C
miR-320-3p ACVR1C
miR-320-3p ACVR1C
miR-335-5p ACVR1C
miR-335 ACVR1C
miR-335 ACVR1C
miR-340-5p ACVR1C
miR-335 ACVR1C
miR-335-5p ACVR1C
miR-335 ACVR1C
miR-335-5p ACVR1C
miR-224 ACVR1C
miR-224 ACVR1C
miR-224-5p ACVR1C
miR-137 ACVR1C
miR-137-3p ACVR1C
miR-137 ACVR1C
miR-137 ACVR1C
miR-101 ACVR1C
miR-101-3p ACVR1C
miR-125-5p/670-5p ACVR1C
miR-125-5p/670-5p ACVR1C
miR-101-3p.1 ACVR1C
miR-101-3p ACVR1C
miR-101 ACVR1C
miR-101-3p.1 ACVR1C
miR-101 ACVR1C
miR-130/301/454 ACVR1C
miR-130/301/454 ACVR1C
miR-130-3p/301-3p/3666/4295/454-3p ACVR1C
miR-130-3p/301-3p ACVR1C
miR-130-3p/301-3p/6341/6389/721 ACVR1C
miR-130-3p/301-3p/454-3p ACVR1C
miR-128 ACVR1C
miR-128-3p ACVR1C
miR-129-5p ACVR1C
miR-128-3p ACVR1C
miR-129-5p ACVR1C
miR-125-5p/351-5p/6367/6394 ACVR1C
miR-125-5p/4319 ACVR1C
miR-125/670 ACVR1C
miR-125 ACVR1C
miR-125 ACVR1C
miR-125/670 ACVR1C
miR-125/670 ACVR1C
miR-125/670 ACVR1C
miR-125-5p/4319 ACVR1C
miR-128 ACVR1C
miR-128 ACVR1C
miR-128-3p/6539 ACVR1C
miR-128-3p/216-3p/3681-3p ACVR1C
miR-105/291-3p ACVR1C
miR-302/372/520 ACVR1C
miR-302-3p/372-3p/373-3p/520-3p ACVR1C
miR-302-3p/372-3p/373/518-3p/519-3p/520-3p ACVR1C
miR-302bcd ACVR1C
miR-291-3p/294-3p/295-3p/302-3p ACVR1C
miR-200c/429 ACVR1C
miR-429-3p/548 ACVR1C
miR-181-5p/4262 ACVR1C
miR-181 ACVR1C
miR-181-5p ACVR1C
miR-181-5p ACVR1C
miR-150 ACVR1C
miR-150-5p ACVR1C
miR-150 ACVR1C
miR-150-5p/5127 ACVR1C
miR-181-5p ACVR1C
miR-181-5p ACVR1C
miR-181 ACVR1C
